EVEN_NM,EVENT_TME_DC,EVEN_BGN_DT,EVEN_END_DT,HSTN_INSTT_NM,EVEN_PLAC_NM,EVENT_DETAIL_DC
전남도립 국악단 전남우수 농수산물전 공연,,1999-01-07,1999-01-07,전라남도,전남 삼성프라자,"남도민요, 금강산타령, 상주 합창가 외"
안산시 립국악연주단 여성시민대학 초청 연주,,1999-01-22,1999-01-22,,여성복지회관4층,천년만세 외
전남도립국악단 일본 JR규수 관광객 유치공연,,1999-01-28,1999-01-28,전라남도,전남 월출산관광호텔,"남도민요, 금강산타령, 상주합창가외"
안섬 풍어 당굿놀이,,1999-02-01,1999-02-01,당진군,충남 당진군,
위도 띠뱃놀이,,1999-02-18,1999-02-18,전북 부안군,전북 부안군 위도면 대리,
젊은 연출가들의 속셈전,,1999-02-24,1999-03-14,,,위성신 외 아리랑소극장
한일 팬터마임 교류전,,1999-02-25,1999-02-28,,,경성대 정보소극장
전남도립국악단 부산MBC 창사 40주년 기념 남도음식축제 공연,,1999-02-27,1999-02-27,부산MBC,부산시 사상구 감전동 일대,"남도민요, 금강산타령, 상주합창가외"
11민속 문화제,,1999-02-29,1999-03-02,3.1 민속문화향상회,영산면 일대,전통민속놀이
백도축제,,1999-03-01,1999-03-01,,전남 여수시 삼산면 거문리,백도축제추진위원회 . 거문도뱃놀이
해운대 달맞이 축제,,1999-03-01,1999-03-02,해운대지구 번영회,해운대 백사장,달집놀이
볏 자릿대 놀이,,1999-03-01,1999-03-18,,충남 서산시 온석동,서산시청 주관
정월대보름맞이 지신밟기 한마당,,1999-03-02,1999-03-02,광명시,광명시민운동장,"강강수월래, 지신밟기, 민속 놀이 외"
제10회 화도진축제,,1999-03-02,1999-03-02,,인천 화도진공원,"서도민요, 은율탈춤, 판소리"
제1회 변방연극제,,1999-03-03,1999-03-14,서울공연예술가들의 모임,,아리랑 소극장
오프씨어터 미아리오몽,,1999-03-05,1999-04-12,,,그룹 여행자『피의 결혼』외 3작품. 예술극장 활인
지리산 고로쇠 약수제,,1999-03-06,1999-03-06,남원시,지리산 단선주차장,"시립국악단공연, 산신제"
’99 신춘문예당선작 공연,,1999-03-06,1999-03-13,한국연극연출가협회,,문예회관 소극장
제16회 대구연극제,,1999-03-06,1999-03-14,,,여명『혈맥』외 3작품. 대구문예회관 대극장
제3회 광주연극제,,1999-03-09,1999-03-14,,,드라마스튜디오『자전거』외 4작품. 광주문예회관 소극장
청도 소 싸춤 축제,,1999-03-10,1999-03-14,,청도 용암온천 테마랜드,"청도군 주관, 민속행사"
행주대첩제,,1999-03-13,1999-03-15,고양문화원,경기 고양시 행주산성,"행주농악, 성석농악"
21세기 해외명작단막선,,1999-03-15,1999-03-30,한국연극연출가협회,,문예회관 소극장
제3회 창작마을 단막극제,,1999-03-17,1999-04-25,,,극단 창작마을 우수창작초연공연 . 명동창고극장
