ctprvn_nm,signgu_nm,signgu_cd,residnt_2030_cnt,ibllbr_fclt_cnt,museum_fclt_cnt,artgr_fclt_cnt,prfplc_fclt_cnt,fclt_cnt,ibllbr_rate,museum_rate,artgr_rate,prfplc_rate,fclt_rate,FILE_NAME,base_ymd
"강원도",강릉시,42150,43522,4,21,2,10,37,9.190754101374018E-5,4.825145903221359E-4,4.595377050687009E-5,2.2976885253435045E-4,8.501447543770966E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"강원도",고성군,42820,4977,3,7,1,3,14,6.027727546714888E-4,0.0014064697609001407,2.0092425155716296E-4,6.027727546714888E-4,0.0028129395218002813,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"강원도",동해시,42170,18373,3,0,1,3,7,1.6328307843030534E-4,0.0,5.442769281010178E-5,1.6328307843030534E-4,3.8099384967071247E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"강원도",삼척시,42230,12131,3,5,0,1,9,2.473003050037095E-4,4.121671750061825E-4,0.0,8.24334350012365E-5,7.419009150111285E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"강원도",속초시,42210,16885,3,3,1,2,9,1.7767249037607344E-4,1.7767249037607344E-4,5.922416345869114E-5,1.1844832691738229E-4,5.330174711282203E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"강원도",양구군,42800,3936,1,5,1,1,8,2.5406504065040653E-4,0.0012703252032520325,2.5406504065040653E-4,2.5406504065040653E-4,0.0020325203252032522,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"강원도",양양군,42830,5199,1,1,1,2,5,1.9234468166955183E-4,1.9234468166955183E-4,1.9234468166955183E-4,3.8468936333910367E-4,9.617234083477592E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"강원도",영월군,42750,6901,2,22,2,1,27,2.898130705694827E-4,0.0031879437762643097,2.898130705694827E-4,1.4490653528474135E-4,0.003912476452688016,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"강원도",원주시,42130,71386,4,8,2,8,22,5.6033395903958756E-5,1.1206679180791751E-4,2.8016697951979378E-5,1.1206679180791751E-4,3.081836774717732E-4,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
"강원도",인제군,42810,5588,2,4,2,2,10,3.5790980672870435E-4,7.158196134574087E-4,3.5790980672870435E-4,3.5790980672870435E-4,0.0017895490336435219,KC_600_MIL_CLT_STATN_BIZAEA_2019,20200220
