BASE_YEAR,VIS_AREA,VIS_CNT,PYEAR_VALUE
2016,BIFF광장 일원,8841000,
2016,감천문화마을,483000,
2016,광안리 해수욕장,3493000,
2016,국립해양박물관,152000,
2016,다대포 해수욕장,445000,
2016,달맞이고개,869000,
2016,동백섬 일원,2964000,
2016,렛츠런파크,656000,
2016,마린시티,1904000,
2016,민락수변공원,1962000,
2016,범어사,27000,
2016,부산서면,8140000,
2016,부산시민공원,790000,
2016,센텀시티,3351000,
2016,송도 해수욕장,631000,
2016,송정 해수욕장,1211000,
2016,아미산전망대,493000,
2016,오륙도,418000,
2016,을숙도,62000,
2016,자갈치·국제시장,8222000,
2016,전포카페거리,4073000,
2016,태종대,930000,
2016,해동 용궁사,491000,
2016,해운대 해수욕장,6908000,
2016,황령산 봉수대,52000,
2016,흰여울문화마을,275000,
2017,BIFF광장 일원,8957000,1.3
2017,감천문화마을,350000,-27.5
2017,광안리 해수욕장,3245000,-7.1
2017,국립해양박물관,159000,4.5
2017,다대포 해수욕장,480000,7.7
2017,달맞이고개,666000,-23.4
2017,동백섬 일원,4783000,61.3
2017,렛츠런파크,800000,22
2017,마린시티,2982000,56.6
2017,민락수변공원,2697000,37.4
2017,범어사,30000,13.6
2017,부산서면,7462000,-8.3
2017,부산시민공원,752000,-4.7
2017,센텀시티,2868000,-14.4
2017,송도 해수욕장,730000,15.6
2017,송정 해수욕장,1144000,-5.5
2017,아미산전망대,526000,6.7
2017,오륙도,311000,-25.6
2017,을숙도,81000,31.1
2017,자갈치·국제시장,8536000,3.8
2017,전포카페거리,4317000,6
2017,태종대,855000,-8
2017,해동 용궁사,561000,14.2
2017,해운대 해수욕장,7827000,13.3
2017,황령산 봉수대,57000,9
2017,흰여울문화마을,308000,11.8
2018,BIFF광장 일원,8880000,-0.9
2018,감천문화마을,559000,59.5
2018,광안리 해수욕장,3646000,12.4
2018,국립해양박물관,275000,72.4
2018,다대포 해수욕장,500000,4.2
2018,달맞이고개,976000,46.7
2018,동백섬 일원,3714000,-22.3
2018,렛츠런파크,1610000,101.1
2018,마린시티,3585000,20.2
2018,민락수변공원,3330000,23.5
2018,범어사,69000,128.4
2018,부산서면,10588000,41.9
2018,부산시민공원,1134000,50.6
2018,센텀시티,5326000,85.7
2018,송도 해수욕장,1175000,61
2018,송정 해수욕장,2071000,81
2018,아미산전망대,583000,10.9
2018,오륙도,571000,83.4
2018,을숙도,230000,182.8
2018,자갈치·국제시장,8280000,-3
2018,전포카페거리,5827000,35
2018,태종대,1147000,34.1
2018,해동 용궁사,1215000,116.8
2018,해운대 해수욕장,9010000,15.1
2018,황령산 봉수대,103000,80.9
2018,흰여울문화마을,675000,119.1
2019,BIFF광장일원,7471000,-15.9
2019,감천문화마을,449000,-10.6
2019,광안리해수욕장,3739000,-24.9
2019,국립해양박물관,317000,15.8
2019,다대포해수욕장,425000,-15
2019,달맞이고개,766000,-21.5
2019,동백섬일원,5076000,36.7
2019,렛츠런파크,1343000,-16.5
2019,마린시티,3825000,6.7
2019,민락수변공원,2527000,-24.1
2019,범어사,103000,49.3
2019,부산서면,7761000,-26.7
2019,부산시민공원,1670000,50
2019,센텀시티,5016000,-5.8
2019,송도해수욕장,1181000,0.6
2019,송정해수욕장,1638000,-20.9
2019,아미산전망대,484000,-17
2019,오륙도·이기대,552000,-3.2
2019,을숙도,216000,-6.1
2019,자갈치·국제시장,6978000,-15.7
2019,전포카페거리,3929000,-32.6
2019,태종대,1103000,-3.9
2019,해동용궁사,1610000,32.5
2019,해운대해수욕장,7938000,-11.9
2019,황령산봉수대,117000,13.4
2019,흰여울문화마을,828000,22.8
2020,BIFF광장 일원,4194000,-43.9
2020,감천문화마을,414000,-17.0
2020,광안리 해수욕장,1903000,-30.5
2020,국립해양박물관,213000,-33.0
2020,다대포 해수욕장,390000,-8.2
2020,달맞이고개,682000,-11.0
2020,동백섬 일원,3027000,-40.4
2020,렛츠런파크,1182000,-12.0
2020,마린시티,2466000,-35.5
2020,민락수변공원,1790000,-29.2
2020,범어사,66000,-35.9
2020,부산서면,5716000,-26.3
2020,부산시민공원,983000,-42.2
2020,센텀시티,3445000,-31.3
2020,송도 해수욕장,1087000,-8.0
2020,송정 해수욕장,1265000,-22.8
2020,아미산전망대,446000,-7.9
2020,오륙도,407000,-26.3
2020,을숙도,18700,-13.4
2020,자갈치·국제시장,3877000,-44.4
2020,전포카페거리,3202000,-18.5
2020,태종대,543000,-50.8
2020,해동 용궁사,1254000,-22.1
2020,해운대 해수욕장,5979000,-24.7
2020,황령산 봉수대,109000,-6.8
2020,흰여울문화마을,620000,-25.1
